Regex,Error Type,Notes
home\/travis\/.*: line [0-9]+: cd:.* No such file or directory,ScriptError,
"bones-check .* failed and exited with [1-9]+",ScriptError,
./.*.sh: line [0-9]+: .*: --: invalid option,ScriptError,
rm: cannot remove,ScriptError,
ERROR: File or directory,ScriptError,
"The command (.*|"")(go get|brew install|setup_system.sh|system_setup.sh|docker pull|conda env|wget|download|apt install|apt get|apt-get|installconda|install conda|pip install|git|make|python[1-9]? install|python setup.py|mvn install|(\/)?install.sh|conda install|dependencies.sh|conda update|make|npm install).* failed and exited with (?!0)[0-9]+ during",BuildDependencyError,
"The command (.*|"")(go get|brew install|docker pull|conda env|wget|download|apt install|apt get|apt-get|installconda|install conda|pip install|git|make|python[1-9]? install|python setup.py|mvn install|(\/)?install.sh|conda install|dependencies.sh|conda update|make).* exited with (?!0)[0-9]+",BuildDependencyError,
No such file or directory,BuildDependencyError,
"No such file or directory: 'requirements-.*.txt""",BuildDependencyError,
Command '(pip|wget|apt)' failed,BuildDependencyError,
"requests.exceptions.ChunkedEncodingError: \(""Connection broken: TimeoutError",BuildDependencyError,
E: Unable to locate package,BuildDependencyError,
Running C++ code checks;Total errors found:,BuildDependencyError,
No output has been received in the last,TravisError,
The job exceeded the maximum time limit,TravisError,
The job exceeded the maximum log length,TravisError,
An error occurred while generating the build script,TravisError,
COMMAND 'pip' FAILED,BuildDependencyError,
Error response from daemon:,ScriptError,
Failed to load Module,ScriptError,
(?!python|coverage|py[A-Za-z0-9]+|pytest)\b\w+: commands failed,ScriptError,
"command "".*"" exited with 137",TravisError,
PackagesNotFoundError:,BuildDependencyError,
.* requires .* [0-9]+(.[0-9]+)?,BuildDependencyError,
Error is not recoverable:,ScriptError,
TypeError:,ScriptError,
is not a directory,ScriptError,
Command failed:,ScriptError,
could not compile,BuildDependencyError,
The log length has exceeded the limit of,TravisError,
tar: Error,ScriptError,
ERROR: unknown command,ScriptError,
An error occurred while generating the build script,TravisError,
